Vus,ComparisonOrder,Strategy,SourceRun,SourceExecutionOrder,RunId,CouponId,Stage,Quantity,Users,RepeatsPerUser,Requests,IsBaseline,K6ExitCode,RunnerValidRun,RunnerScenarioPassed,CompletedRun,TransportComplete,ComparableLatency,PerformanceInterpretation,Attempted,Completed,HttpRequestCount,HttpFailedCount,HttpFailedRate,ChecksRate,MissingOrUnknown,OutcomeCount,UnexpectedAccountingValid,ExpectedSuccess,ExpectedDuplicateUser,ExpectedRemaining,Success,DuplicateUser,SoldOut,DuplicateRequest,InternalError,SetupError,Unexpected,RequestsPerSecond,ElapsedSeconds,SuccessRps,CorrectOutcomeRps,RpsPerVu,AvgMs,P90Ms,P95Ms,P99Ms,MaxMs,SuccessAvgMs,SuccessP90Ms,SuccessP95Ms,SuccessP99Ms,DuplicateUserAvgMs,DuplicateUserP90Ms,DuplicateUserP95Ms,DuplicateUserP99Ms,HttpBlockedP95Ms,HttpBlockedMaxMs,HttpConnectingP95Ms,HttpConnectingMaxMs,DbRemaining,RedisRemaining,EffectiveRemaining,ApiIssueCount,ApiConsistent,DbStockIssuedCrossCheck,DbStockRemainingCrossCheck,DbIssueCountCrossCheck,DbDistinctUsers,DbDistinctRequests,MaxIssuesPerUser,NoDuplicateIssue,AllUsersIssued,UniqueRequestIds,ResponseMatchesStorage,StockLedgerConsistent,ExpectedResultsMatchedAudited,ScenarioPassedAudited,ScenarioPassedValue,RpsSpeedupVs10,ScalingEfficiencyPctVs10,RpsGainPctVs10,P95DeltaPctVs10,RpsSpeedupVs50,ScalingEfficiencyPctVs50,RpsGainPctVs50,P95DeltaPctVs50,RpsGainPctVsPrevious,P95DeltaPctVsPrevious,RedisDestinationPort,TimeWaitObserved,MeasurementNote
10,1,redis-watch,r0816watchvu10r1,1,r0816watchvu10r1-u-01,14,duplicate-user,10000,10000,3,30000,false,99,false,false,true,false,false,TRANSPORT_INCOMPLETE,30000,30000,30000,27111,0.9037,0.1790515988372093,26976,3024,true,10000,20000,0,990,1899,0,0,135,0,26976,1080.1489845173749,27.7739464,35.644916489073374,104.0183472090232,108.01489845173748,4.544544046666668,9.5559,32.816954999999986,91.98004499999989,211.8849,26.359323939393946,39.18838000000001,47.49717499999999,66.427808,51.81801147972618,96.80844,116.54266999999993,143.922588,0,11.0124,0,4.5077,10000,9010,9010,990,true,0,10000,990,990,990,1,true,false,true,true,true,false,false,0,1,100,0,0,,,,,,,6381,14922,26976 no-result responses; 14922 TIME_WAIT sockets; Address already in use. Overall RPS/HTTP percentiles are not comparable.
10,2,redis-lua,r0816vu10r1,1,r0816vu10r1-u-01,6,duplicate-user,10000,10000,3,30000,false,99,false,false,true,true,true,COMPARABLE_MIXED_OUTCOMES,30000,30000,30000,0,0,0.9998166666666667,0,30000,true,10000,20000,0,9998,19991,11,0,0,0,11,534.7353228415316,56.1025216,178.20945859232108,534.5392532231564,53.47353228415316,18.551444629999995,22.75644,24.316329999999997,28.00341,115.6732,16.753870394078916,19.561020000000003,20.624074999999998,24.28335100000002,19.457885978690353,23.6793,24.872700000000002,29.053869999999865,0,10.145,0,1.5145,10000,2,2,9998,true,0,10000,9998,9998,9998,1,true,false,true,true,true,false,false,0,1,100,0,0,,,,,,,,,11 transient SOLD_OUT responses during duplicate-user reservation/compensation races.
10,3,redis-decr,r0816vu10r1,2,r0816vu10r1-u-02,7,duplicate-user,10000,10000,3,30000,false,99,false,false,true,true,true,COMPARABLE_MIXED_OUTCOMES,30000,30000,30000,0,0,0.9997833333333334,0,30000,true,10000,20000,0,9998,19989,13,0,0,0,13,539.0144653048193,55.657133400000006,179.63555413725277,538.7808923698539,53.90144653048193,18.410694516666673,22.69621,24.200415,27.400939999999995,111.0131,16.60749319863972,19.470480000000002,20.45788,23.291976000000005,19.320985086797776,23.4794,24.774459999999998,28.026047999999975,0,11.0799,0,1.5055,10000,2,2,9998,true,0,10000,9998,9998,9998,1,true,false,true,true,true,false,false,0,1,100,0,0,,,,,,,,,13 transient SOLD_OUT responses during duplicate-user reservation/compensation races.
10,4,redis-lock,r0816vu10r1,3,r0816vu10r1-u-03,8,duplicate-user,10000,10000,3,30000,false,99,false,false,true,true,true,FAILURE_MIXED,30000,30000,30000,303,0.0101,0.9948333333333333,0,30000,true,10000,20000,0,10000,19690,7,0,303,0,7,323.1786890629211,92.827903,107.72622968764036,319.83917594260424,32.317868906292105,30.789100446666467,59.305620000000026,79.14980999999999,124.493343,136.0585,18.419115080000008,25.39636,30.515564999999974,43.28831900000001,35.60317274250899,66.93973000000003,83.92959499999999,113.44895300000002,0,11.2084,0,1.569,10000,0,0,10000,true,0,10000,10000,10000,10000,1,true,true,true,true,true,false,false,0,1,100,0,0,,,,,,,,,303 lock acquisition/retry errors; throughput includes failed responses.
10,5,conditional,r0816vu10r1,4,r0816vu10r1-u-04,9,duplicate-user,10000,10000,3,30000,false,99,false,false,true,true,true,COMPARABLE_MIXED_OUTCOMES,30000,30000,30000,0,0,0.9999666666666667,0,30000,true,10000,20000,0,10000,19998,2,0,0,0,2,272.1651816065766,110.2271783,90.7217272021922,272.1470372611362,27.21651816065766,36.60051689999992,39.40863,40.6457,45.26768099999999,119.8568,37.47970627000011,39.85051,41.107665,45.98054,36.16096247624748,39.06779,40.352169999999994,44.943803,0,11.5634,0,1.0006,0,,0,10000,true,10000,0,10000,10000,10000,1,true,true,true,true,true,false,false,0,1,100,0,0,,,,,,,,,2 transient SOLD_OUT responses during duplicate-user reservation/compensation races.
10,6,optimistic,r0816vu10r1,5,r0816vu10r1-u-05,10,duplicate-user,10000,10000,3,30000,false,99,false,false,true,true,true,FAILURE_MIXED,30000,30000,30000,1280,0.042666666666666665,0.9786666666666667,0,30000,true,10000,20000,0,9579,19141,0,0,1280,0,0,218.19461136827192,137.4919381,69.66953940988923,208.884974616559,21.819461136827194,45.648663206666754,73.84265000000005,158.1156799999996,287.20419999999996,352.223,30.27410928071822,57.36606000000002,73.61816,141.3134639999999,37.39934552008763,67.952,83.9941,140.89363999999975,0,10.3841,0,2.7445,421,,421,9579,true,9579,421,9579,9579,9579,1,true,false,true,true,true,false,false,0,1,100,0,0,,,,,,,,,1280 INTERNAL_ERROR responses. Tight 20-attempt CAS retry loop at VU≈Hikari pool size; overall RPS is failure-distorted (high-confidence inference).
10,7,pessimistic,r0816vu10r1,6,r0816vu10r1-u-06,11,duplicate-user,10000,10000,3,30000,false,99,false,false,true,true,true,COMPARABLE_MIXED_OUTCOMES,30000,30000,30000,0,0,0.9999666666666667,0,30000,true,10000,20000,0,10000,19998,2,0,0,0,2,252.12187238510225,118.990073,84.04062412836741,252.10506426027658,25.212187238510225,39.51771039333336,42.93401,44.266704999999995,48.26699499999993,117.207,41.11740703999991,44.01586,45.410039999999995,49.510629,38.718230383038566,41.86578,43.18713,47.140111999999995,0,11.0625,0,1.5753,0,,0,10000,true,10000,0,10000,10000,10000,1,true,true,true,true,true,false,false,0,1,100,0,0,,,,,,,,,2 transient SOLD_OUT responses during duplicate-user reservation/compensation races.
10,8,jvm-lock,r0816vu10r1,7,r0816vu10r1-u-07,12,duplicate-user,10000,10000,3,30000,false,0,true,true,true,true,true,COMPARABLE_MIXED_OUTCOMES,30000,30000,30000,0,0,1,0,30000,true,10000,20000,0,10000,20000,0,0,0,0,0,165.764813620641,180.9793004,55.254937873547,165.764813620641,16.5764813620641,60.16575827333356,66.30048,67.95484,72.62739899999995,225.4782,65.62903830999979,68.65484,70.66996499999999,76.154708,57.43411825500009,60.20122,61.995185,66.79379199999991,0,12.0201,0,1.0045,0,,0,10000,true,10000,0,10000,10000,10000,1,true,true,true,true,true,true,true,1,1,100,0,0,,,,,,,,,
10,9,direct,r0816vu10r1,8,r0816vu10r1-u-08,13,duplicate-user,10000,10000,3,30000,false,99,false,false,true,true,true,FAILURE_MIXED,30000,30000,30000,2,0.00006666666666666667,0.9999666666666667,0,30000,true,10000,20000,0,10000,19998,0,0,2,0,0,397.65819513056357,75.4416742,132.55273171018786,397.63168458422155,39.76581951305636,25.007822989999923,28.07543,29.17961,32.91131999999993,113.9837,26.54420815000006,28.91796,29.953329999999998,34.14626600000002,24.23926644664474,27.44381,28.561769999999996,32.15501299999997,0,10.4742,0,1.5715,7442,,7442,10000,false,2558,7442,10000,10000,10000,1,true,true,true,true,false,false,false,0,1,100,0,0,,,,,,,,,"Lost update: API issueCount 10000, DB stock issued 2558."
50,1,redis-watch,r0816duprev1w,1,r0816duprev1w-u-01,6,duplicate-user,10000,10000,3,30000,true,99,false,false,true,false,false,TRANSPORT_INCOMPLETE,30000,30000,30000,27258,0.9086,0.17422521130600746,26991,3009,true,10000,20000,0,946,1796,0,0,267,0,26991,784.0516800451626,38.2627839,24.723762977424126,71.66232355612786,15.681033600903252,27.2138555666667,31.896280000001813,267.60763000000003,357.18408399999964,592.8814,249.43599915433435,296.81965,317.06944999999996,359.17245499999984,289.2975454899771,365.5238,386.493525,448.38313999999997,0,14.5654,0,5.2019,10000,9054,9054,946,true,0,10000,946,946,946,1,true,false,true,true,true,false,false,0,0.7258736445468099,14.517472890936197,-27.41263554531901,715.4553949322847,1,100,0,0,-27.41263554531901,715.4553949322847,6381,14918,26991 no-result responses; 14918 TIME_WAIT sockets; Address already in use. Overall RPS/HTTP percentiles are not comparable.
