"Stage","Strategy","RunId","CouponId","Quantity","Users","RepeatsPerUser","Requests","Vus","K6ExitCode","CompletedRun","ValidRun","DuplicatePolicyConsistent","ExpectedResultsMatched","ScenarioPassed","Attempted","Completed","ExpectedSuccess","ExpectedDuplicateUser","ExpectedRemaining","Success","SoldOut","DuplicateRequest","DuplicateUser","InternalError","SetupError","Unexpected","RequestsPerSecond","AvgMs","P90Ms","P95Ms","P99Ms","MaxMs","SuccessAvgMs","SuccessP90Ms","SuccessP95Ms","SuccessP99Ms","SoldOutAvgMs","SoldOutP95Ms","DuplicateUserAvgMs","DuplicateUserP90Ms","DuplicateUserP95Ms","DuplicateUserP99Ms","DuplicateUserMaxMs","DbRemaining","RedisRemaining","EffectiveRemaining","IssueCount","Consistent"
"duplicate-user","redis-lua","r0816vu10r1-u-01","6","10000","10000","3","30000","10","99","True","False","False","False","False","30000","30000","10000","20000","0","9998","11","0","19991","0","0","11","534.7353228415316","18.551444629999995","22.75644","24.316329999999997","28.00341","115.6732","16.753870394078916","19.561020000000003","20.624074999999998","24.28335100000002","5.049463636363636","6.22565","19.457885978690353","23.6793","24.872700000000002","29.053869999999865","115.6732","10000","2","2","9998","True"
"duplicate-user","redis-decr","r0816vu10r1-u-02","7","10000","10000","3","30000","10","99","True","False","False","False","False","30000","30000","10000","20000","0","9998","13","0","19989","0","0","13","539.0144653048193","18.410694516666673","22.69621","24.200415","27.400939999999995","111.0131","16.60749319863972","19.470480000000002","20.45788","23.291976000000005","5.534430769230768","5.968439999999999","19.320985086797776","23.4794","24.774459999999998","28.026047999999975","111.0131","10000","2","2","9998","True"
"duplicate-user","redis-lock","r0816vu10r1-u-03","8","10000","10000","3","30000","10","99","True","False","True","False","False","30000","30000","10000","20000","0","10000","7","0","19690","303","0","7","323.1786890629211","30.789100446666467","59.305620000000026","79.14980999999999","124.493343","136.0585","18.419115080000008","25.39636","30.515564999999974","43.28831900000001","31.98878571428571","53.80584999999999","35.60317274250899","66.93973000000003","83.92959499999999","113.44895300000002","132.2897","10000","0","0","10000","True"
"duplicate-user","conditional","r0816vu10r1-u-04","9","10000","10000","3","30000","10","99","True","False","True","False","False","30000","30000","10000","20000","0","10000","2","0","19998","0","0","2","272.1651816065766","36.60051689999992","39.40863","40.6457","45.26768099999999","119.8568","37.47970627000011","39.85051","41.107665","45.98054","35.75835","37.726695","36.16096247624748","39.06779","40.352169999999994","44.943803","119.3435","0",,"0","10000","True"
"duplicate-user","optimistic","r0816vu10r1-u-05","10","10000","10000","3","30000","10","99","True","False","False","False","False","30000","30000","10000","20000","0","9579","0","0","19141","1280","0","0","218.19461136827192","45.648663206666754","73.84265000000005","158.1156799999996","287.20419999999996","352.223","30.27410928071822","57.36606000000002","73.61816","141.3134639999999",,,"37.39934552008763","67.952","83.9941","140.89363999999975","290.0162","421",,"421","9579","True"
"duplicate-user","pessimistic","r0816vu10r1-u-06","11","10000","10000","3","30000","10","99","True","False","True","False","False","30000","30000","10000","20000","0","10000","2","0","19998","0","0","2","252.12187238510225","39.51771039333336","42.93401","44.266704999999995","48.26699499999993","117.207","41.11740703999991","44.01586","45.410039999999995","49.510629","35.0351","37.05488","38.718230383038566","41.86578","43.18713","47.140111999999995","116.4549","0",,"0","10000","True"
"duplicate-user","jvm-lock","r0816vu10r1-u-07","12","10000","10000","3","30000","10","0","True","True","True","True","True","30000","30000","10000","20000","0","10000","0","0","20000","0","0","0","165.764813620641","60.16575827333356","66.30048","67.95484","72.62739899999995","225.4782","65.62903830999979","68.65484","70.66996499999999","76.154708",,,"57.43411825500009","60.20122","61.995185","66.79379199999991","218.1842","0",,"0","10000","True"
"duplicate-user","direct","r0816vu10r1-u-08","13","10000","10000","3","30000","10","99","True","False","True","False","False","30000","30000","10000","20000","0","10000","0","0","19998","2","0","0","397.65819513056357","25.007822989999923","28.07543","29.17961","32.91131999999993","113.9837","26.54420815000006","28.91796","29.953329999999998","34.14626600000002",,,"24.23926644664474","27.44381","28.561769999999996","32.15501299999997","113.3324","7442",,"7442","10000","False"
