"ExecutionOrder","Stage","Strategy","RunId","CouponId","Quantity","Users","RepeatsPerUser","Requests","Vus","K6ExitCode","CompletedRun","ValidRun","DuplicatePolicyConsistent","ExpectedResultsMatched","ScenarioPassed","Attempted","Completed","ExpectedSuccess","ExpectedDuplicateUser","ExpectedRemaining","Success","SoldOut","DuplicateRequest","DuplicateUser","InternalError","SetupError","Unexpected","RequestsPerSecond","AvgMs","P90Ms","P95Ms","P99Ms","MaxMs","SuccessAvgMs","SuccessP90Ms","SuccessP95Ms","SuccessP99Ms","SoldOutAvgMs","SoldOutP95Ms","DuplicateUserAvgMs","DuplicateUserP90Ms","DuplicateUserP95Ms","DuplicateUserP99Ms","DuplicateUserMaxMs","DbRemaining","RedisRemaining","EffectiveRemaining","IssueCount","Consistent","DbStockIssuedCrossCheck","DbStockRemainingCrossCheck","DbIssueCountCrossCheck","DbDistinctUsers","DbDistinctRequests","MaxIssuesPerUser","ComparableLatency","MeasurementNote"
"1","duplicate-user","redis-watch","r0816duprev1w-u-01","6","10000","10000","3","30000","50","99","True","False","False","False","False","30000","30000","10000","20000","0","946","0","0","1796","267","0","26991","784.0516800451626","27.2138555666667","31.896280000001813","267.60763000000003","357.18408399999964","592.8814","249.43599915433435","296.81965","317.06944999999996","359.17245499999984","","","289.2975454899771","365.5238","386.493525","448.38313999999997","573.2149","10000","9054","9054","946","True","0","10000","946","946","946","1","False","26991 transport failures after Redis WATCH connection churn exhausted local ephemeral ports; overall RPS/HTTP percentiles are not comparable."
"2","duplicate-user","redis-lua","r0816duprev1-u-01","8","10000","10000","3","30000","50","99","True","False","False","False","False","30000","30000","10000","20000","0","9998","13","0","19989","0","0","13","535.8513641482543","93.01737724999943","100.83561","104.46293499999999","123.10715399999962","227.6223","89.24087178435695","96.41513","99.627105","111.21411700000013","70.16968461538463","77.72919999999999","94.92115040772475","102.17326","105.85553999999999","137.78517599999932","227.6223","10000","2","2","9998","True","0","10000","9998","9998","9998","1","True",""
"3","duplicate-user","redis-decr","r0816duprev1-u-02","9","10000","10000","3","30000","50","99","True","False","False","False","False","30000","30000","10000","20000","0","9999","13","0","19988","0","0","13","560.5736824363992","88.9448774100005","95.71819","98.16033","109.15570799999992","230.1158","85.31557525752571","91.46746","93.59475","99.98004200000007","68.47086923076922","74.69358","90.77375245147097","96.8031","99.32337999999999","134.49553300000042","230.1158","10000","1","1","9999","True","0","10000","9999","9999","9999","1","True",""
"4","duplicate-user","redis-lock","r0816duprev1-u-03","10","10000","10000","3","30000","50","99","True","False","False","False","False","30000","30000","10000","20000","0","9999","6","0","19708","287","0","6","319.98285676912326","155.93369318999916","189.99552","211.04957","250.820391","286.1327","141.4700182618253","155.053","161.12346","180.6143120000001","150.26263333333333","162.839025","161.87781775421254","198.33409999999998","216.10083999999998","246.72303200000005","286.1327","10000","1","1","9999","True","0","10000","9999","9999","9999","1","True",""
"5","duplicate-user","conditional","r0816duprev1-u-04","11","10000","10000","3","30000","50","99","True","False","True","False","False","30000","30000","10000","20000","0","10000","2","0","19998","0","0","2","260.09148999059227","191.85296413333154","200.37220000000002","204.50781","217.52997199999996","396.9049","190.3612082100005","199.15301","203.20241000000001","213.49394100000006","194.23775","194.97588499999998","192.59867818781987","200.87776","205.124915","219.47499499999964","396.9049","0","","0","10000","True","10000","0","10000","10000","10000","1","True",""
"6","duplicate-user","optimistic","r0816duprev1-u-05","12","10000","10000","3","30000","50","99","True","False","False","False","False","30000","30000","10000","20000","0","9997","0","0","19992","11","0","0","200.5478011319391","248.8920452366649","453.56234000000046","561.39248","815.3446339999998","1347.5061","219.28582286686043","437.87856","524.7180599999998","776.7696919999968","","","263.1555252450976","471.99520000000024","567.7187","818.7519300000001","1293.7821","3","","3","9997","True","9997","3","9997","9997","9997","1","True",""
"7","duplicate-user","pessimistic","r0816duprev1-u-06","13","10000","10000","3","30000","50","99","True","False","True","False","False","30000","30000","10000","20000","0","10000","2","0","19998","0","0","2","237.87823141312452","209.80585656666705","219.66093999999998","225.86969499999998","243.8951669999999","380.2856","208.53186110999923","218.72033","224.793085","240.613414","200.4486","202.09578","210.44385382038246","220.11778","226.196845","246.04066099999983","380.2856","0","","0","10000","True","10000","0","10000","10000","10000","1","True",""
"8","duplicate-user","jvm-lock","r0816duprev1-u-07","14","10000","10000","3","30000","50","0","True","True","True","True","True","30000","30000","10000","20000","0","10000","0","0","20000","0","0","0","156.64629235699886","318.71360179666624","332.26448","337.44782","360.649648","482.9909","321.23735910000096","334.33029999999997","338.69144","361.79638900000003","","","317.45172314499973","331.14753","336.61145000000005","359.3776629999993","482.9909","0","","0","10000","True","10000","0","10000","10000","10000","1","True",""
"9","duplicate-user","direct","r0816duprev1-u-08","15","10000","10000","3","30000","50","0","True","True","True","True","False","30000","30000","10000","20000","0","10000","0","0","20000","0","0","0","398.538773528409","125.16302504666677","131.77809","134.742945","150.48337299999994","217.0459","124.1128285900002","130.14284999999998","133.03009999999998","149.396636","","","125.68812327499981","132.38535","135.368415","151.2286819999997","217.0459","7498","","7498","10000","False","2502","7498","10000","10000","10000","1","True",""
